model,calibration_method,referral_rate,coverage,n_accepted,n_referred,selective_risk,accepted_case_error_rate,sensitivity,specificity,ppv,npv,brier_score,ece,decision_threshold
logistic_regression,isotonic,0.3,0.7004950495049505,283,121,0.2720848056537102,0.2720848056537102,0.8351648351648352,0.5346534653465347,0.7638190954773869,0.6428571428571429,0.1995754083969281,0.105755660328109,0.5
logistic_regression,platt,0.0,1.0,404,0,0.2945544554455445,0.2945544554455445,0.7725321888412017,0.6140350877192983,0.7317073170731707,0.6645569620253164,0.2047543859384112,0.0801808559761894,0.5
logistic_regression,platt,0.05,0.9504950495049505,384,20,0.2916666666666667,0.2916666666666667,0.775330396475771,0.6114649681528662,0.7426160337552743,0.6530612244897959,0.2025672168073847,0.0771990712645547,0.5
logistic_regression,platt,0.1,0.900990099009901,364,40,0.2802197802197802,0.2802197802197802,0.7935779816513762,0.6095890410958904,0.7521739130434782,0.664179104477612,0.1999948524526518,0.0833954476844522,0.5
logistic_regression,platt,0.2,0.7995049504950495,323,81,0.2662538699690402,0.2662538699690402,0.8112244897959183,0.6141732283464567,0.7644230769230769,0.6782608695652174,0.1951206739522065,0.0889445599592985,0.5
logistic_regression,platt,0.3,0.7004950495049505,283,121,0.254416961130742,0.254416961130742,0.8181818181818182,0.6261682242990654,0.782608695652174,0.6767676767676768,0.1899974131621064,0.089103486714807,0.5
logistic_regression,uncalibrated,0.0,1.0,404,0,0.3143564356435643,0.3143564356435643,0.6566523605150214,0.7251461988304093,0.765,0.6078431372549019,0.204938838657665,0.0695943003694401,0.5
logistic_regression,uncalibrated,0.05,0.9504950495049505,384,20,0.2994791666666667,0.2994791666666667,0.6757990867579908,0.7333333333333333,0.7708333333333334,0.6302083333333334,0.2024696216929778,0.0627507788841353,0.5
logistic_regression,uncalibrated,0.1,0.900990099009901,364,40,0.2884615384615384,0.2884615384615384,0.6811594202898551,0.7515923566878981,0.7833333333333333,0.6413043478260869,0.1998539473418641,0.0666235822527687,0.5
logistic_regression,uncalibrated,0.2,0.7995049504950495,323,81,0.2631578947368421,0.2631578947368421,0.7010869565217391,0.7841726618705036,0.8113207547169812,0.6646341463414634,0.1933886217361697,0.0798530484061433,0.5
logistic_regression,uncalibrated,0.3,0.7004950495049505,283,121,0.254416961130742,0.254416961130742,0.718562874251497,0.7844827586206896,0.8275862068965517,0.6594202898550725,0.1885170611105534,0.0778346562331191,0.5
