referral_rate,coverage,n_accepted,n_referred,selective_risk,accepted_case_error_rate,sensitivity,specificity,ppv,npv,brier_score,ece,decision_threshold,model,calibration_method
0.92,0.07920792079207921,32,372,0.0,0.0,1.0,,1.0,,0.0,0.0,0.5,lightgbm,isotonic
0.94,0.0594059405940594,24,380,0.0,0.0,1.0,,1.0,,0.0,0.0,0.5,lightgbm,isotonic
0.0,1.0,404,0,0.27722772277227725,0.27722772277227725,0.7467811158798283,0.6900584795321637,0.7665198237885462,0.6666666666666666,0.18064475786011563,0.06337456072728953,0.5,lightgbm,platt
0.02,0.9801980198019802,396,8,0.2702020202020202,0.2702020202020202,0.7521739130434782,0.6987951807228916,0.7757847533632287,0.6705202312138728,0.17921390831201844,0.062115409564941,0.5,lightgbm,platt
0.04,0.9603960396039604,388,16,0.2603092783505155,0.2603092783505155,0.7610619469026548,0.7098765432098766,0.7853881278538812,0.6804733727810651,0.17760883249216924,0.06467603026363147,0.5,lightgbm,platt
0.06,0.9405940594059405,380,24,0.2578947368421053,0.2578947368421053,0.757847533632287,0.7197452229299363,0.7934272300469484,0.6766467065868264,0.17616564840036514,0.06393979366760733,0.5,lightgbm,platt
0.08,0.9207920792079208,372,32,0.2553763440860215,0.2553763440860215,0.7579908675799086,0.7254901960784313,0.7980769230769231,0.676829268292683,0.17467758648808596,0.06475480767170633,0.5,lightgbm,platt
0.1,0.900990099009901,364,40,0.25,0.25,0.7581395348837209,0.738255033557047,0.806930693069307,0.6790123456790124,0.1728779042798744,0.06687601967191906,0.5,lightgbm,platt
0.12,0.8811881188118812,356,48,0.25,0.25,0.7571428571428571,0.7397260273972602,0.8071065989847716,0.6792452830188679,0.17183627683336494,0.06934603344523846,0.5,lightgbm,platt
0.14,0.8589108910891089,347,57,0.23919308357348704,0.23919308357348704,0.7669902912621359,0.75177304964539,0.8186528497409327,0.6883116883116883,0.16868903193567888,0.06430055810374159,0.5,lightgbm,platt
0.16,0.8391089108910891,339,65,0.23008849557522124,0.23008849557522124,0.7733990147783252,0.7647058823529411,0.8306878306878307,0.6933333333333334,0.16582894099070003,0.06506765570147326,0.5,lightgbm,platt
0.18,0.8193069306930693,331,73,0.22356495468277945,0.22356495468277945,0.7828282828282829,0.7669172932330827,0.8333333333333334,0.7034482758620689,0.16345903820660923,0.06287281347181015,0.5,lightgbm,platt
0.2,0.7995049504950495,323,81,0.21671826625386997,0.21671826625386997,0.7897435897435897,0.7734375,0.8415300546448088,0.7071428571428572,0.1609069352494756,0.06668041047885,0.5,lightgbm,platt
0.22,0.7797029702970297,315,89,0.21587301587301588,0.21587301587301588,0.7894736842105263,0.776,0.8426966292134831,0.708029197080292,0.15993616417439432,0.06613003712369227,0.5,lightgbm,platt
