referral_rate,coverage,n_accepted,n_referred,selective_risk,accepted_case_error_rate,sensitivity,specificity,ppv,npv,brier_score,ece,decision_threshold,model,calibration_method
0.48,0.5199258572752549,1122,1036,0.11229946524064172,0.11229946524064172,0.8993377483443709,0.8637602179836512,0.9314128943758574,0.806615776081425,0.09549415822907198,0.041910415288791886,0.5,lightgbm,isotonic
0.5,0.5,1079,1079,0.1056533827618165,0.1056533827618165,0.9138627187079408,0.8511904761904762,0.9314128943758574,0.8171428571428572,0.09119061795516648,0.04167223926698635,0.5,lightgbm,isotonic
0.52,0.48007414272474513,1036,1122,0.09845559845559845,0.09845559845559845,0.9288645690834473,0.8360655737704918,0.9314128943758574,0.8306188925081434,0.08652983399056996,0.04141429187657531,0.5,lightgbm,isotonic
0.54,0.46014828544949027,993,1165,0.09164149043303121,0.09164149043303121,0.9429763560500696,0.8175182481751825,0.9313186813186813,0.8452830188679246,0.08195880505649347,0.0408479258097064,0.5,lightgbm,isotonic
0.56,0.4402224281742354,950,1208,0.08526315789473685,0.08526315789473685,0.9462209302325582,0.8320610687022901,0.9366906474820144,0.8549019607843137,0.07762957373708108,0.040475257540552895,0.5,lightgbm,isotonic
0.58,0.4198331788693234,906,1252,0.08278145695364239,0.08278145695364239,0.943076923076923,0.8515625,0.9416282642089093,0.8549019607843137,0.07563562122296338,0.0409692729913818,0.5,lightgbm,isotonic
0.6,0.39990732159406855,863,1295,0.08458864426419467,0.08458864426419467,0.9392446633825944,0.8582677165354331,0.9407894736842105,0.8549019607843137,0.07647519704545427,0.03779624719605088,0.5,lightgbm,isotonic
0.62,0.3799814643188137,820,1338,0.07926829268292683,0.07926829268292683,0.9416809605488851,0.869198312236287,0.946551724137931,0.8583333333333333,0.07247102455788175,0.03820766163696722,0.5,lightgbm,isotonic
0.64,0.3600556070435589,777,1381,0.07722007722007722,0.07722007722007722,0.9498269896193772,0.8442211055276382,0.946551724137931,0.8527918781725888,0.07079996400669579,0.04065101762828054,0.5,lightgbm,isotonic
0.66,0.340129749768304,734,1424,0.07493188010899182,0.07493188010899182,0.9581151832460733,0.8074534161490683,0.946551724137931,0.8441558441558441,0.06892711585162532,0.043224993249318895,0.5,lightgbm,isotonic
0.68,0.32020389249304915,691,1467,0.0694645441389291,0.0694645441389291,0.9637681159420289,0.7985611510791367,0.95,0.8473282442748091,0.06443627558496672,0.041348939980277,0.5,lightgbm,isotonic
0.7,0.29981464318813716,647,1511,0.06646058732612056,0.06646058732612056,0.9610136452241715,0.8283582089552238,0.9554263565891473,0.8473282442748091,0.061772900199709435,0.040513319206138335,0.5,lightgbm,isotonic
0.72,0.2798887859128823,604,1554,0.06291390728476821,0.06291390728476821,0.9578947368421052,0.8604651162790697,0.9619450317124736,0.8473282442748091,0.058629580180814586,0.0393909230569064,0.5,lightgbm,isotonic
0.74,0.25996292863762743,561,1597,0.05525846702317291,0.05525846702317291,0.9594594594594594,0.8888888888888888,0.9703872437357631,0.8524590163934426,0.05186189182152058,0.034518137182702455,0.5,lightgbm,isotonic
0.76,0.24003707136237257,518,1640,0.04247104247104247,0.04247104247104247,0.9793103448275862,0.8433734939759037,0.9703872437357631,0.8860759493670886,0.040558991639408806,0.02492418453875488,0.5,lightgbm,isotonic
0.78,0.2201112140871177,475,1683,0.037894736842105266,0.037894736842105266,0.988399071925754,0.7045454545454546,0.9703872437357631,0.8611111111111112,0.03648945002820335,0.024119537310850474,0.5,lightgbm,isotonic
0.8,0.20018535681186284,432,1726,0.034722222222222224,0.034722222222222224,0.9950617283950617,0.5185185185185185,0.96875,0.875,0.033672792913052044,0.02527492714524888,0.5,lightgbm,isotonic
0.82,0.17979610750695088,388,1770,0.030927835051546393,0.030927835051546393,0.9945054945054945,0.5833333333333334,0.9731182795698925,0.875,0.03007800257160171,0.023371478768156817,0.5,lightgbm,isotonic
0.84,0.15987025023169602,345,1813,0.017391304347826087,0.017391304347826087,0.9938837920489296,0.7777777777777778,0.9878419452887538,0.875,0.01724546791608421,0.01208897931770708,0.5,lightgbm,isotonic
0.86,0.13994439295644115,302,1856,0.016556291390728478,0.016556291390728478,0.9929824561403509,0.8235294117647058,0.9895104895104895,0.875,0.016482797669461237,0.013586258541436122,0.5,lightgbm,isotonic
0.88,0.12001853568118628,259,1899,0.015444015444015444,0.015444015444015444,0.9917695473251029,0.875,0.9917695473251029,0.875,0.015388755574937688,0.01270272819016529,0.5,lightgbm,isotonic
0.9,0.10009267840593142,216,1942,0.018518518518518517,0.018518518518518517,0.99,0.875,0.99,0.875,0.018448494627159803,0.01609705149533309,0.5,lightgbm,isotonic
0.92,0.08016682113067655,173,1985,0.017341040462427744,0.017341040462427744,0.9873417721518988,0.9333333333333333,0.9936305732484076,0.875,0.017299177093630557,0.015398379449312488,0.5,lightgbm,isotonic
0.94,0.0597775718257646,129,2029,0.023255813953488372,0.023255813953488372,0.9824561403508771,0.9333333333333333,0.9911504424778761,0.875,0.023193223869488837,0.02213351932214845,0.5,lightgbm,isotonic
